"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"1400000US06037406602","Census Tract 4066.02, Los Angeles County, California","4973"
"1400000US06037406701","Census Tract 4067.01, Los Angeles County, California","3246"
"1400000US06037406702","Census Tract 4067.02, Los Angeles County, California","5823"
"1400000US06037406800","Census Tract 4068, Los Angeles County, California","4926"
"1400000US06037406901","Census Tract 4069.01, Los Angeles County, California","4701"
"1400000US06037406902","Census Tract 4069.02, Los Angeles County, California","3149"
"1400000US06037407001","Census Tract 4070.01, Los Angeles County, California","5905"
"1400000US06037407002","Census Tract 4070.02, Los Angeles County, California","3804"
"1400000US06037407101","Census Tract 4071.01, Los Angeles County, California","4834"
"1400000US06037407102","Census Tract 4071.02, Los Angeles County, California","5445"
"1400000US06037407200","Census Tract 4072, Los Angeles County, California","7315"
"1400000US06037407301","Census Tract 4073.01, Los Angeles County, California","4828"
"1400000US06037407302","Census Tract 4073.02, Los Angeles County, California","3501"
"1400000US06037407400","Census Tract 4074, Los Angeles County, California","2133"
"1400000US06037407501","Census Tract 4075.01, Los Angeles County, California","4411"
"1400000US06037407502","Census Tract 4075.02, Los Angeles County, California","3937"
"1400000US06037407702","Census Tract 4077.02, Los Angeles County, California","6497"
"1400000US06037407601","Census Tract 4076.01, Los Angeles County, California","4366"
"1400000US06037407602","Census Tract 4076.02, Los Angeles County, California","4008"
"1400000US06037407701","Census Tract 4077.01, Los Angeles County, California","5401"
"1400000US06037407801","Census Tract 4078.01, Los Angeles County, California","5074"
"1400000US06037407802","Census Tract 4078.02, Los Angeles County, California","3635"
"1400000US06037407900","Census Tract 4079, Los Angeles County, California","6296"
"1400000US06037408006","Census Tract 4080.06, Los Angeles County, California","3863"
"1400000US06037408003","Census Tract 4080.03, Los Angeles County, California","4992"
"1400000US06037408004","Census Tract 4080.04, Los Angeles County, California","2246"
"1400000US06037408005","Census Tract 4080.05, Los Angeles County, California","5088"
"1400000US06037408133","Census Tract 4081.33, Los Angeles County, California","5739"
"1400000US06037408134","Census Tract 4081.34, Los Angeles County, California","2743"
"1400000US06037408135","Census Tract 4081.35, Los Angeles County, California","4159"
"1400000US06037408136","Census Tract 4081.36, Los Angeles County, California","3849"
"1400000US06037408137","Census Tract 4081.37, Los Angeles County, California","4152"
"1400000US06037408138","Census Tract 4081.38, Los Angeles County, California","5936"
"1400000US06037408139","Census Tract 4081.39, Los Angeles County, California","4482"
"1400000US06037408140","Census Tract 4081.40, Los Angeles County, California","3835"
"1400000US06037600201","Census Tract 6002.01, Los Angeles County, California","4600"
"1400000US06037408705","Census Tract 4087.05, Los Angeles County, California","5427"
"1400000US06037408631","Census Tract 4086.31, Los Angeles County, California","5087"
"1400000US06037408703","Census Tract 4087.03, Los Angeles County, California","6528"
"1400000US06037408704","Census Tract 4087.04, Los Angeles County, California","3155"
"1400000US06037408706","Census Tract 4087.06, Los Angeles County, California","1665"
"1400000US06037408722","Census Tract 4087.22, Los Angeles County, California","4400"
"1400000US06037408723","Census Tract 4087.23, Los Angeles County, California","2825"
"1400000US06037408724","Census Tract 4087.24, Los Angeles County, California","5362"
"1400000US06037408800","Census Tract 4088, Los Angeles County, California","3738"
"1400000US06037430002","Census Tract 4300.02, Los Angeles County, California","7021"
"1400000US06037430003","Census Tract 4300.03, Los Angeles County, California","4604"
"1400000US06037430101","Census Tract 4301.01, Los Angeles County, California","4887"
"1400000US06037430102","Census Tract 4301.02, Los Angeles County, California","4809"
"1400000US06037430200","Census Tract 4302, Los Angeles County, California","1292"
"1400000US06037430301","Census Tract 4303.01, Los Angeles County, California","4422"
"1400000US06037430302","Census Tract 4303.02, Los Angeles County, California","5837"
"1400000US06037430400","Census Tract 4304, Los Angeles County, California","4424"
"1400000US06037430501","Census Tract 4305.01, Los Angeles County, California","4172"
"1400000US06037430502","Census Tract 4305.02, Los Angeles County, California","6745"
"1400000US06037430600","Census Tract 4306, Los Angeles County, California","4505"
"1400000US06037430724","Census Tract 4307.24, Los Angeles County, California","4812"
"1400000US06037430701","Census Tract 4307.01, Los Angeles County, California","5271"
"1400000US06037430721","Census Tract 4307.21, Los Angeles County, California","3957"
"1400000US06037430723","Census Tract 4307.23, Los Angeles County, California","4118"
"1400000US06037430801","Census Tract 4308.01, Los Angeles County, California","6342"
"1400000US06037430802","Census Tract 4308.02, Los Angeles County, California","4163"
"1400000US06037430803","Census Tract 4308.03, Los Angeles County, California","5439"
"1400000US06037430901","Census Tract 4309.01, Los Angeles County, California","4324"
"1400000US06037430902","Census Tract 4309.02, Los Angeles County, California","4652"
"1400000US06037431001","Census Tract 4310.01, Los Angeles County, California","7171"
"1400000US06037431002","Census Tract 4310.02, Los Angeles County, California","3163"
"1400000US06037431100","Census Tract 4311, Los Angeles County, California","6629"
"1400000US06037431200","Census Tract 4312, Los Angeles County, California","6439"
"1400000US06037602509","Census Tract 6025.09, Los Angeles County, California","4118"
"1400000US06037602600","Census Tract 6026, Los Angeles County, California","7910"
"1400000US06037602700","Census Tract 6027, Los Angeles County, California","3045"
"1400000US06037602801","Census Tract 6028.01, Los Angeles County, California","3819"
"1400000US06037602802","Census Tract 6028.02, Los Angeles County, California","4304"
"1400000US06037602900","Census Tract 6029, Los Angeles County, California","4427"
"1400000US06037603006","Census Tract 6030.06, Los Angeles County, California","2035"
"1400000US06037603001","Census Tract 6030.01, Los Angeles County, California","7139"
"1400000US06037603004","Census Tract 6030.04, Los Angeles County, California","1512"
"1400000US06037603005","Census Tract 6030.05, Los Angeles County, California","5591"
"1400000US06037603101","Census Tract 6031.01, Los Angeles County, California","4244"
"1400000US06037670201","Census Tract 6702.01, Los Angeles County, California","3852"
"1400000US06037670202","Census Tract 6702.02, Los Angeles County, California","2594"
"1400000US06037670324","Census Tract 6703.24, Los Angeles County, California","5127"
"1400000US06037670326","Census Tract 6703.26, Los Angeles County, California","3807"
"1400000US06037670328","Census Tract 6703.28, Los Angeles County, California","4504"
"1400000US06037670403","Census Tract 6704.03, Los Angeles County, California","2407"
"1400000US06037670405","Census Tract 6704.05, Los Angeles County, California","2646"
"1400000US06037670406","Census Tract 6704.06, Los Angeles County, California","1903"
"1400000US06037670407","Census Tract 6704.07, Los Angeles County, California","5758"
"1400000US06037670411","Census Tract 6704.11, Los Angeles County, California","4427"
"1400000US06037670413","Census Tract 6704.13, Los Angeles County, California","4782"
"1400000US06037670416","Census Tract 6704.16, Los Angeles County, California","4139"
"1400000US06037670702","Census Tract 6707.02, Los Angeles County, California","5477"
"1400000US06037670500","Census Tract 6705, Los Angeles County, California","1860"
"1400000US06037670602","Census Tract 6706.02, Los Angeles County, California","7345"
"1400000US06037670701","Census Tract 6707.01, Los Angeles County, California","6882"
"1400000US06059052519","Census Tract 525.19, Orange County, California","4212"
"1400000US06059052520","Census Tract 525.20, Orange County, California","3460"
"1400000US06059052521","Census Tract 525.21, Orange County, California","5391"
"1400000US06059052522","Census Tract 525.22, Orange County, California","4123"
"1400000US06059052523","Census Tract 525.23, Orange County, California","4175"
"1400000US06059052524","Census Tract 525.24, Orange County, California","7952"
"1400000US06059052525","Census Tract 525.25, Orange County, California","15473"
"1400000US06059052526","Census Tract 525.26, Orange County, California","4355"
"1400000US06059062605","Census Tract 626.05, Orange County, California","3094"
"1400000US06059052527","Census Tract 525.27, Orange County, California","8391"
"1400000US06059052528","Census Tract 525.28, Orange County, California","3469"
"1400000US06059062604","Census Tract 626.04, Orange County, California","15174"
"1400000US06059062610","Census Tract 626.10, Orange County, California","6393"
"1400000US06059062611","Census Tract 626.11, Orange County, California","4105"
"1400000US06059062612","Census Tract 626.12, Orange County, California","8186"
"1400000US06059062614","Census Tract 626.14, Orange County, California","14044"
"1400000US06059062619","Census Tract 626.19, Orange County, California","3885"
"1400000US06059062620","Census Tract 626.20, Orange County, California","5065"
"1400000US06059062621","Census Tract 626.21, Orange County, California","4800"
"1400000US06059062622","Census Tract 626.22, Orange County, California","4072"
"1400000US06059062625","Census Tract 626.25, Orange County, California","4381"
"1400000US06059062626","Census Tract 626.26, Orange County, California","2773"
"1400000US06059062627","Census Tract 626.27, Orange County, California","3308"
"1400000US06059062628","Census Tract 626.28, Orange County, California","3581"
"1400000US06059062629","Census Tract 626.29, Orange County, California","2660"
"1400000US06059062630","Census Tract 626.30, Orange County, California","1722"
"1400000US06059062631","Census Tract 626.31, Orange County, California","3303"
"1400000US06059062635","Census Tract 626.35, Orange County, California","4039"
"1400000US06059062632","Census Tract 626.32, Orange County, California","3979"
"1400000US06059063701","Census Tract 637.01, Orange County, California","6266"
"1400000US06059063603","Census Tract 636.03, Orange County, California","6223"
"1400000US06059063604","Census Tract 636.04, Orange County, California","3835"
"1400000US06059063605","Census Tract 636.05, Orange County, California","5672"
"1400000US06059063702","Census Tract 637.02, Orange County, California","5767"
"1400000US06059063802","Census Tract 638.02, Orange County, California","2914"
"1400000US06059063803","Census Tract 638.03, Orange County, California","4437"
"1400000US06059063805","Census Tract 638.05, Orange County, California","2415"
"1400000US06059063806","Census Tract 638.06, Orange County, California","3790"
"1400000US06059063807","Census Tract 638.07, Orange County, California","4957"
"1400000US06059063808","Census Tract 638.08, Orange County, California","6393"
"1400000US06059063902","Census Tract 639.02, Orange County, California","6670"
"1400000US06059063903","Census Tract 639.03, Orange County, California","3957"
